Object;ChatGPTLWithTypes;GraspType;Grasp
Bottle;PIVOT bottle PIVOT bottle CONTEXT container TASK holding GEOMETRY cylindrical GEOMETRY rectangular GEOMETRY oval MATERIAL glass MATERIAL plastic MATERIAL Glass MATERIAL plastic MATERIAL Plastic WEIGHT lightweight TASK hold PIVOT bottle PIVOT bottle MATERIAL Glass PIVOT bottles MATERIAL plastic PIVOT Bottles MATERIAL Glass PIVOT bottles MATERIAL plastic;Power;1
Bowl;MATERIAL ceramic MATERIAL glass PIVOT bowl COMPONENT bowl GEOMETRY curved GEOMETRY concave GEOMETRY circular GEOMETRY oval COMPONENT top COMPONENT sides GEOMETRY tapered GEOMETRY straight SIZE small SIZE large SIZE small COMPONENT bowl TASK hold SIZE large COMPONENT bowl PIVOT bowl MATERIAL Ceramic MATERIAL glass PIVOT bowls MATERIAL plastic MATERIAL metal PIVOT bowl TEXTURE smooth TEXTURE rough MATERIAL Ceramic MATERIAL glass PIVOT bowls MATERIAL plastic MATERIAL metal MATERIAL ceramic MATERIAL glass PIVOT bowl PIVOT bowl;Power;0
Box;PIVOT box PIVOT box PIVOT box SIZE small GEOMETRY square SIZE large GEOMETRY rectangular WEIGHT lightweight TASK carry PIVOT box PIVOT Boxes MATERIAL cardboard MATERIAL plastic MATERIAL metal MATERIAL wood MATERIAL fabric PIVOT box MATERIAL plastic PIVOT boxes MATERIAL paper PIVOT Boxes PIVOT box;Power;0
Bun;PIVOT buns PIVOT Buns HARDNESS soft TEXTURE crispy PIVOT bun COLOR brown COLOR yellow GEOMETRY round GEOMETRY oval GEOMETRY oblong PIVOT bun SIZE small TASK held PIVOT bun PIVOT buns WEIGHT heavy WEIGHT light;Precision;2
Candle;PIVOT candle PIVOT candle HARDNESS solid MATERIAL wax MATERIAL wax MATERIAL wax PIVOT candle MATERIAL wax;Power;1
Chalice;PIVOT chalice PIVOT chalice MATERIAL glass MATERIAL metal MATERIAL ceramic MATERIAL Glass TEXTURE smooth MATERIAL Metal WEIGHT heavy MATERIAL Ceramic TEXTURE porous PIVOT chalice COMPONENT stem;Power;1
Chalk;PIVOT chalk PIVOT Chalk MATERIAL limestone MATERIAL marble HARDNESS soft TEXTURE powdery COLOR white WEIGHT lightweight TEXTURE porous PIVOT chalk TASK broken SIZE small PIVOT chalk TEXTURE smooth;Precision;3
Chess piece;CONTEXT chess PIVOT piece CONTEXT chess PIVOT piece PIVOT Pawn SIZE small SIZE short CONTEXT piece GEOMETRY rounded COMPONENT top MATERIAL wood MATERIAL plastic GEOMETRY flat GEOMETRY rectangular COMPONENT top COMPONENT head SIZE small COMPONENT top MATERIAL wood MATERIAL metal CONTEXT chess SIZE small WEIGHT lightweight TASK move TASK playing;Precision;2
Chestnut;PIVOT chestnut PIVOT chestnuts PIVOT Chestnuts SIZE small GEOMETRY round GEOMETRY oval GEOMETRY flattened COMPONENT bottom COMPONENT top COMPONENT shell PIVOT chestnuts HARDNESS hard TEXTURE prickly HARDNESS soft TEXTURE grainy COMPONENT shell COLOR brown COLOR white PIVOT chestnuts;Precision;2
Chocolate bar;TASK eating CONTEXT chocolate PIVOT bar CONTEXT chocolate PIVOT bar HARDNESS solid TEXTURE glossy GEOMETRY rectangular TEXTURE smooth CONTEXT chocolate PIVOT bar PIVOT chocolate TEXTURE brittle TASK eat;Power;0
Cigarette;PIVOT cigarette PIVOT cigarette PIVOT cigarette GEOMETRY cylindrical MATERIAL paper TASK Smoking;Precision;3
Clementine;PIVOT clementine SIZE small CONTEXT fruit GEOMETRY thin TEXTURE smooth TEXTURE glossy COLOR orange COMPONENT rind TASK eaten GEOMETRY round;Power;1
Coin;PIVOT coins PIVOT Coins SIZE small GEOMETRY flat GEOMETRY circular MATERIAL metal MATERIAL plastic PIVOT coin SIZE small SIZE large PIVOT coin PIVOT coin GEOMETRY circular PIVOT coin TEXTURE smooth TEXTURE rough TASK wear;Power;0
Comb;PIVOT comb PIVOT comb GEOMETRY flat GEOMETRY narrow CONTEXT instrument MATERIAL plastic MATERIAL wood MATERIAL metal TASK detangling TASK styling PIVOT comb SIZE long GEOMETRY narrow MATERIAL plastic MATERIAL wood HARDNESS hard MATERIAL rubber MATERIAL metal TASK wear PIVOT comb TASK detangle PIVOT comb PIVOT comb PIVOT comb TASK styling;Power;0
Compact disk;PIVOT CD PIVOT CD CONTEXT disc GEOMETRY circular MATERIAL plastic CONTEXT disc MATERIAL polycarbonate MATERIAL plastic GEOMETRY thin MATERIAL metal MATERIAL aluminum SIZE tiny MATERIAL plastic PIVOT CDs PIVOT CD PIVOT CDs;Power;0
Credit card;CONTEXT credit PIVOT card CONTEXT Credit PIVOT cards MATERIAL plastic MATERIAL polyvinyl MATERIAL PVC MATERIAL metal GEOMETRY thin WEIGHT lightweight TASK carried;Power;0
Cucumber;PIVOT cucumber PIVOT Cucumbers GEOMETRY elongated GEOMETRY cylindrical TEXTURE smooth TEXTURE waxy COLOR green COLOR yellow COLOR white HARDNESS hard TEXTURE crunchy CONTEXT fruit CONTEXT vegetable;Power;1
Cup;PIVOT cup PIVOT Cups MATERIAL glass MATERIAL ceramic MATERIAL plastic MATERIAL metal MATERIAL wood SIZE small GEOMETRY narrow SIZE large GEOMETRY wide PIVOT cup MATERIAL glass MATERIAL ceramic MATERIAL metal PIVOT cup PIVOT cup TEXTURE smooth TEXTURE rough PIVOT cup PIVOT cups PIVOT Cups MATERIAL metal PIVOT cups MATERIAL ceramic PIVOT cups;Power;1
Dice;PIVOT six-sided PIVOT die GEOMETRY cube PIVOT dice MATERIAL plastic MATERIAL metal MATERIAL wood PIVOT dice PIVOT dice PIVOT die PIVOT game PIVOT chance;Precision;2
Donut;PIVOT donut PIVOT donuts PIVOT donut COLOR golden COLOR brown TEXTURE crispy PIVOT donut PIVOT donut HARDNESS soft TEXTURE crispy TASK eat PIVOT donut COLOR golden COLOR brown GEOMETRY circular SIZE small SIZE large;Power;0
Earring;PIVOT earring PIVOT earring MATERIAL gold MATERIAL silver MATERIAL platinum MATERIAL acrylic MATERIAL plastic MATERIAL wood SIZE Large GEOMETRY round GEOMETRY oval PIVOT earring TEXTURE smooth PIVOT earrings PIVOT earring;Precision;2
Egg;PIVOT egg PIVOT egg COLOR white GEOMETRY thin COMPONENT shell COLOR white COLOR white PIVOT egg GEOMETRY oval;Precision;2
Envelope;PIVOT envelopes PIVOT envelope PIVOT Envelopes GEOMETRY rectangular GEOMETRY square SIZE long GEOMETRY thin MATERIAL paper MATERIAL plastic MATERIAL fabric PIVOT envelope PIVOT envelope GEOMETRY thin GEOMETRY rectangular MATERIAL paper COMPONENT flap;Power;0
Flashlight;PIVOT flashlights PIVOT Flashlights SIZE small MATERIAL aluminum MATERIAL plastic MATERIAL steel PIVOT flashlight PIVOT flashlights PIVOT flashlights PIVOT Flashlights COMPONENT button PIVOT flashlight;Power;1
Flask;PIVOT flasks PIVOT flask MATERIAL glass MATERIAL plastic MATERIAL steel PIVOT Flasks GEOMETRY round TASK hold PIVOT flask PIVOT flasks PIVOT Flasks TASK cleaning PIVOT flask;Power;1
Fork;PIVOT fork MATERIAL metal PIVOT fork MATERIAL metal MATERIAL steel MATERIAL silver MATERIAL metal PIVOT Forks SIZE small TASK held COMPONENT handle GEOMETRY thin GEOMETRY tapered COMPONENT head COMPONENT fork COMPONENT tines GEOMETRY curved WEIGHT lightweight TASK hold PIVOT fork TEXTURE smooth PIVOT fork PIVOT fork;Precision;3
Fountain pen;CONTEXT fountain PIVOT pens CONTEXT fountain PIVOT pens CONTEXT Fountain PIVOT pens CONTEXT Fountain PIVOT pens MATERIAL metal MATERIAL plastic MATERIAL wood MATERIAL resin MATERIAL metal MATERIAL plastic MATERIAL Nib COMPONENT nib COMPONENT nib MATERIAL gold MATERIAL steel MATERIAL titanium COMPONENT cap COMPONENT nib COMPONENT cap TASK attach CONTEXT fountain PIVOT pen CONTEXT fountain PIVOT pen;Precision;3
Frisbee;PIVOT frisbee PIVOT frisbee PIVOT frisbee MATERIAL plastic WEIGHT lightweight MATERIAL flexible GEOMETRY curved GEOMETRY rounded COMPONENT edge TASK fly PIVOT Frisbees TEXTURE smooth SIZE small TASK throwing CONTEXT disc PIVOT frisbee;Power;0
Gel pen;CONTEXT gel PIVOT pens CONTEXT gel PIVOT pens COMPONENT Tip COMPONENT tip CONTEXT gel PIVOT pen MATERIAL metal MATERIAL plastic CONTEXT gel PIVOT pen MATERIAL plastic MATERIAL metal TASK hold TASK writing PIVOT pens WEIGHT lightweight TASK writing CONTEXT instrument TASK Writing TEXTURE smooth TASK writing TASK write CONTEXT gel PIVOT pens TASK writing CONTEXT instrument;Precision;3
Glasses;PIVOT glass PIVOT glasses MATERIAL Glass HARDNESS hard TEXTURE brittle TASK break MATERIAL Glass MATERIAL glass MATERIAL glass MATERIAL Glass MATERIAL Glass PIVOT Glass HARDNESS solid;Precision;2
Glue stick;CONTEXT glue PIVOT stick HARDNESS solid CONTEXT stick CONTEXT tube CONTEXT glue PIVOT stick CONTEXT glue PIVOT stick TEXTURE waxy HARDNESS solid CONTEXT Glue PIVOT sticks TASK attaching WEIGHT lightweight CONTEXT glue PIVOT sticks CONTEXT glue PIVOT sticks;Power;1
Golf ball;CONTEXT golf PIVOT ball CONTEXT golf PIVOT ball TASK lift PIVOT ball CONTEXT Golf PIVOT balls PIVOT balls CONTEXT golf PIVOT ball CONTEXT golf PIVOT balls MATERIAL rubber MATERIAL urethane MATERIAL Surlyn CONTEXT Golf COLOR white COLOR yellow COLOR orange CONTEXT Golf PIVOT balls;Precision;2
Hairbrush;PIVOT hairbrush PIVOT hairbrush COMPONENT bristles COMPONENT handle COMPONENT bristles MATERIAL plastic MATERIAL nylon COMPONENT bristles SIZE long COMPONENT bristles GEOMETRY thick COMPONENT bristles GEOMETRY straight TASK fine COMPONENT handle PIVOT hairbrush MATERIAL plastic MATERIAL wood COMPONENT handle PIVOT hairbrush;Power;0
Hammer;PIVOT hammer PIVOT hammer PIVOT hammer PIVOT Hammers MATERIAL steel MATERIAL wood MATERIAL fiberglass PIVOT hammer COMPONENT Handle PIVOT hammer COMPONENT handle COMPONENT handles COMPONENT handles PIVOT hammer COMPONENT head PIVOT hammer GEOMETRY curved COMPONENT claw TASK pulling TEXTURE smooth TASK striking PIVOT hammer TEXTURE smooth TEXTURE smooth PIVOT hammer;Power;1
Handfan;PIVOT handfan WEIGHT lightweight MATERIAL bamboo MATERIAL plastic MATERIAL paper MATERIAL fabric PIVOT handfan;Power;0
Jar;PIVOT jar PIVOT jar MATERIAL glass MATERIAL plastic MATERIAL ceramic MATERIAL metal PIVOT jar GEOMETRY cylindrical GEOMETRY rectangular PIVOT jar PIVOT jar COMPONENT lid;Power;1
Jug;PIVOT jug PIVOT jugs PIVOT jug GEOMETRY cylindrical GEOMETRY spherical GEOMETRY square MATERIAL glass MATERIAL ceramic MATERIAL plastic MATERIAL metal MATERIAL clay TEXTURE smooth TASK pouring PIVOT jug COMPONENT handle TASK pick TASK pour PIVOT jugs PIVOT jug;Power;1
Key;PIVOT key MATERIAL metal MATERIAL brass MATERIAL nickel MATERIAL steel PIVOT key PIVOT key PIVOT key PIVOT key PIVOT key PIVOT key PIVOT keys MATERIAL metal;Power;0
Kiwifruit;PIVOT kiwi CONTEXT fruit PIVOT kiwi CONTEXT fruit CONTEXT fruit SIZE small GEOMETRY oval CONTEXT fruit TEXTURE fuzzy COMPONENT skin TASK eating CONTEXT fruit HARDNESS soft COLOR green SIZE small COLOR black COMPONENT seeds CONTEXT fruit CONTEXT fruit;Precision;2
Knife;PIVOT knives PIVOT knife MATERIAL steel MATERIAL steel MATERIAL ceramic MATERIAL titanium COMPONENT blade PIVOT knife COMPONENT blade MATERIAL steel PIVOT knife PIVOT knife COMPONENT knife PIVOT knife COMPONENT handle COMPONENT Handle COMPONENT handle PIVOT knife MATERIAL wood MATERIAL plastic MATERIAL rubber PIVOT knife COMPONENT blades TASK slicing TASK chopping COMPONENT blades TASK peeling TASK trimming PIVOT knife;Precision;3
Ladle;PIVOT ladle PIVOT ladles CONTEXT utensils TASK serving PIVOT ladle MATERIAL steel MATERIAL plastic MATERIAL wood MATERIAL silicone SIZE Small TASK serving SIZE large TASK serving SIZE long COMPONENT handle GEOMETRY rounded GEOMETRY bowl-shaped COMPONENT scoop COMPONENT scoop PIVOT ladle TASK cooking MATERIAL Silicone MATERIAL steel PIVOT ladles MATERIAL plastic MATERIAL wooden TASK hold COMPONENT handle;Precision;3
Lemon;PIVOT lemon PIVOT lemon SIZE small COLOR yellow GEOMETRY oval-shaped CONTEXT fruit TEXTURE smooth GEOMETRY thin COMPONENT skin SIZE small COMPONENT seeds PIVOT lemon PIVOT lemon TEXTURE smooth TEXTURE bumpy COMPONENT skin COMPONENT skin PIVOT lemon COLOR yellow COLOR yellow PIVOT lemon PIVOT lemon PIVOT lemon WEIGHT lightweight PIVOT lemon PIVOT lemon;Power;1
Lollipop;PIVOT lollipop PIVOT lollipop HARDNESS hard TEXTURE smooth SIZE small GEOMETRY round PIVOT lollipop PIVOT lollipops CONTEXT candy;Precision;3
Marble;PIVOT Marble MATERIAL rock COLOR white COLOR gray COLOR blue COLOR green COLOR pink PIVOT marble HARDNESS soft MATERIAL stone MATERIAL quartz MATERIAL diamond PIVOT marble MATERIAL stone MATERIAL stone MATERIAL quartz TEXTURE porous MATERIAL stone TEXTURE glossy MATERIAL Marble PIVOT marble MATERIAL stone;Precision;2
Marker Pen;CONTEXT marker PIVOT pen GEOMETRY cylindrical MATERIAL plastic COMPONENT tip COMPONENT nib TEXTURE porous MATERIAL felt MATERIAL nylon MATERIAL polyester COMPONENT tip;Precision;3
Mobile phone;CONTEXT mobile PIVOT phone CONTEXT mobile PIVOT phone CONTEXT mobile PIVOT phone MATERIAL glass CONTEXT mobile PIVOT phone MATERIAL plastic MATERIAL metal MATERIAL glass TEXTURE glossy CONTEXT Mobile PIVOT phones CONTEXT mobile PIVOT phone PIVOT smartphones;Power;0
Mousepad;PIVOT mousepads PIVOT mousepad PIVOT Mousepads GEOMETRY thin PIVOT mousepad MATERIAL rubber PIVOT mousepad TASK Cleaning MATERIAL cloth PIVOT mousepad TEXTURE smooth;Power;0
Mug;PIVOT mug PIVOT mug MATERIAL ceramic MATERIAL porcelain MATERIAL glass MATERIAL plastic GEOMETRY cylindrical GEOMETRY conical COMPONENT handle TASK holding GEOMETRY flat TASK hold TEXTURE glossy MATERIAL glass MATERIAL plastic PIVOT mugs;Power;1
Newspaper;PIVOT newspaper PIVOT newspapers PIVOT Newspapers TEXTURE rough TEXTURE dry GEOMETRY thin MATERIAL paper MATERIAL fibers.Weight WEIGHT lightweight TASK carry GEOMETRY thin MATERIAL flexible SIZE large COLOR black COLOR white PIVOT newspapers SIZE large;Power;0
Notepad;PIVOT notepads PIVOT notepad PIVOT notepad COMPONENT cover MATERIAL cardboard MATERIAL paper COMPONENT pages MATERIAL paper COMPONENT pages TASK bound PIVOT notepad GEOMETRY rectangular SIZE small MATERIAL paper MATERIAL paper MATERIAL paper MATERIAL paper MATERIAL paper MATERIAL cardboard MATERIAL plastic MATERIAL leather WEIGHT lightweight TASK carry COMPONENT pages PIVOT notepads TASK writing TASK drawing;Power;0
Onion;PIVOT onion GEOMETRY round COMPONENT skin PIVOT onion COLOR white COLOR yellow COLOR red TEXTURE crisp TEXTURE moist PIVOT onion PIVOT onions PIVOT onion;Power;1
Paintbrush;PIVOT paintbrush PIVOT paintbrush COMPONENT handle COMPONENT ferrule MATERIAL metal MATERIAL plastic COMPONENT bristles COMPONENT handle PIVOT paintbrush PIVOT paintbrushes SIZE small GEOMETRY round SIZE large GEOMETRY flat COMPONENT bristles COMPONENT bristles COMPONENT bristles TASK applying PIVOT paintbrush TASK hold PIVOT brush PIVOT paintbrush TASK painting;Precision;3
Pan;PIVOT pan PIVOT pan MATERIAL metal MATERIAL steel MATERIAL aluminium MATERIAL copper HARDNESS solid PIVOT pan TASK roasting PIVOT pan TEXTURE smooth COMPONENT handles PIVOT pan MATERIAL pan MATERIAL plastic MATERIAL wood PIVOT pan PIVOT pan PIVOT pan TASK cooking;Power;0
Peach;PIVOT peach PIVOT Peaches HARDNESS soft TEXTURE fuzzy COMPONENT skin PIVOT peaches COLOR yellow COLOR orange COLOR red GEOMETRY round GEOMETRY oval-shaped SIZE small SIZE large PIVOT peaches CONTEXT fruit TASK eating;Power;1
Pear;PIVOT pear PIVOT Pears GEOMETRY pear-shaped GEOMETRY wider COMPONENT bottom GEOMETRY tapering COMPONENT top TEXTURE smooth TEXTURE waxy COMPONENT skin GEOMETRY thin HARDNESS soft TEXTURE grainy TEXTURE gritty COLOR green COLOR yellow COLOR red COLOR brown;Power;1
Pencil;PIVOT Pencil SIZE long GEOMETRY cylindrical COMPONENT tip GEOMETRY flat COMPONENT eraser MATERIAL wooden COMPONENT barrel PIVOT pencil MATERIAL paper TASK write TASK draw MATERIAL graphite MATERIAL wooden PIVOT pencil COLOR yellow PIVOT pencil HARDNESS soft HARDNESS hard TASK writing TASK drawing;Precision;3
Pill;PIVOT pill PIVOT Pills GEOMETRY round GEOMETRY oval GEOMETRY oblong PIVOT pill SIZE small SIZE large TEXTURE smooth TEXTURE rough HARDNESS soft HARDNESS hard PIVOT pill PIVOT pill;Precision;2
Pliers;PIVOT pliers PIVOT Pliers MATERIAL steel MATERIAL aluminum MATERIAL plastic CONTEXT tool PIVOT Pliers SIZE small SIZE large PIVOT pliers PIVOT Pliers PIVOT pliers PIVOT Pliers COMPONENT handles COMPONENT tips PIVOT pliers SIZE Larger COMPONENT jaws PIVOT pliers;Power;1
Plate;PIVOT plate PIVOT Plates GEOMETRY flat GEOMETRY circular GEOMETRY oval GEOMETRY square GEOMETRY rectangular MATERIAL ceramic MATERIAL glass MATERIAL plastic MATERIAL metal MATERIAL wood PIVOT plate MATERIAL ceramic MATERIAL glass MATERIAL plates MATERIAL plastic TEXTURE smooth TEXTURE rough MATERIAL Ceramic MATERIAL glass MATERIAL plates MATERIAL plastic PIVOT plate MATERIAL ceramic MATERIAL glass MATERIAL plastic;Power;0
Playing card;CONTEXT playing PIVOT cards CONTEXT playing PIVOT card CONTEXT Playing PIVOT cards GEOMETRY rectangular CONTEXT playing PIVOT card CONTEXT playing PIVOT card CONTEXT playing PIVOT cards MATERIAL paper MATERIAL cardboard MATERIAL plastic MATERIAL PVC MATERIAL acetate MATERIAL vinyl CONTEXT Playing PIVOT cards TEXTURE smooth TASK shuffling CONTEXT Playing PIVOT cards COLOR white COLOR red COLOR black CONTEXT Playing PIVOT cards CONTEXT playing PIVOT cards;Power;0
Potato;PIVOT potatoes PIVOT potato CONTEXT potato HARDNESS firm CONTEXT vegetable TEXTURE rough TEXTURE bumpy COMPONENT skin GEOMETRY oval GEOMETRY flattened SIZE small SIZE large COLOR white COLOR yellowish CONTEXT vegetable PIVOT potato COLOR brown TEXTURE crispy PIVOT potatoes CONTEXT vegetable;Power;1
Potato chip;CONTEXT potato PIVOT chip CONTEXT Potato PIVOT chips GEOMETRY thin TEXTURE crispy CONTEXT potato PIVOT chip TEXTURE crispy TEXTURE crunchy CONTEXT Potato PIVOT chips COLOR golden COLOR brown CONTEXT Potato PIVOT chips CONTEXT Potato PIVOT chips GEOMETRY round GEOMETRY oval SIZE small CONTEXT potato PIVOT chips;Power;0
Quill;PIVOT quill PIVOT quill COMPONENT feather TASK writing TASK drawing SIZE large PIVOT quills SIZE long PIVOT Quills TEXTURE rough SIZE tiny COMPONENT barbs TASK hold TASK writing TASK drawing WEIGHT lightweight PIVOT Quills TASK writing PIVOT Quills TEXTURE porous TASK writing PIVOT quills TASK writing CONTEXT instrument;Precision;3
Remote control;PIVOT remote CONTEXT control PIVOT online PIVOT remote CONTEXT control SIZE small WEIGHT lightweight TASK held PIVOT remote CONTEXT control PIVOT remote MATERIAL plastic CONTEXT control COMPONENT buttons COMPONENT buttons;Power;0
Rubik's Cube;CONTEXT Rubik PIVOT cube CONTEXT Rubik PIVOT cube MATERIAL plastic CONTEXT Rubik PIVOT cube TEXTURE smooth GEOMETRY rounded CONTEXT Rubik PIVOT cube PIVOT cubes CONTEXT Rubik PIVOT cube;Power;1
Scalpel;PIVOT scalpel PIVOT scalpel CONTEXT knife TASK surgery GEOMETRY thin COMPONENT blade MATERIAL steel MATERIAL steel COMPONENT handle MATERIAL plastic MATERIAL metal COMPONENT blade COMPONENT handle PIVOT scalpel PIVOT scalpel COMPONENT blade HARDNESS hard PIVOT blade TASK cutting COMPONENT handle WEIGHT lightweight PIVOT scalpel CONTEXT tool;Precision;3
Scissors;PIVOT Scissors PIVOT Scissors MATERIAL steel MATERIAL steel MATERIAL titanium MATERIAL ceramic SIZE small SIZE large TASK cutting GEOMETRY straight GEOMETRY curved COMPONENT blades COMPONENT blades TASK cutting GEOMETRY convex COMPONENT blades TASK cut PIVOT scissors COMPONENT blades TASK held COMPONENT Handle PIVOT Scissors COMPONENT handles GEOMETRY straight COMPONENT handles COMPONENT handles COMPONENT handles PIVOT scissors;Precision;3
Screw;PIVOT screws PIVOT screw GEOMETRY cylindrical GEOMETRY conical COMPONENT shaft MATERIAL metal MATERIAL plastic MATERIAL wood PIVOT screw PIVOT screw GEOMETRY flat GEOMETRY round GEOMETRY hexagonal TASK tightened PIVOT screws;Precision;2
Screwdriver;PIVOT screwdriver PIVOT screwdriver CONTEXT tool COMPONENT handle COMPONENT shaft MATERIAL metal TASK turning COMPONENT handle MATERIAL plastic MATERIAL wood COMPONENT shaft MATERIAL steel MATERIAL metal GEOMETRY straight GEOMETRY tapered PIVOT screwdriver PIVOT Screwdrivers PIVOT screw PIVOT screwdriver PIVOT screwdriver TASK bending PIVOT screwdriver WEIGHT lightweight CONTEXT tool CONTEXT tool PIVOT screwdrivers COMPONENT tips TASK hold PIVOT screwdriver PIVOT screwdriver CONTEXT tool;Precision;3
Sheet of paper;PIVOT sheet MATERIAL paper MATERIAL Paper MATERIAL paper MATERIAL paper MATERIAL paper MATERIAL paper TEXTURE smooth TEXTURE rough TEXTURE Smooth MATERIAL paper TEXTURE rough TASK drawing MATERIAL paper MATERIAL paper MATERIAL paper MATERIAL paper MATERIAL Paper COLOR white MATERIAL Paper MATERIAL paper;Power;0
Spatula;PIVOT spatula MATERIAL metal MATERIAL plastic GEOMETRY flat GEOMETRY curved CONTEXT tool COMPONENT handle TASK lift PIVOT spatula SIZE small TASK cooking COMPONENT blade GEOMETRY flat GEOMETRY rectangular GEOMETRY curved GEOMETRY tapered MATERIAL metal MATERIAL plastic MATERIAL silicone MATERIAL wood MATERIAL Metal MATERIAL plastic MATERIAL silicone WEIGHT lightweight MATERIAL flexible MATERIAL Metal MATERIAL plastic MATERIAL Plastic MATERIAL silicone PIVOT spatulas MATERIAL metal PIVOT spatula PIVOT spatula TASK cooking;Power;0
Sponge;PIVOT sponge PIVOT sponge TEXTURE porous TASK cleaning TASK soaking SIZE small COMPONENT holes TASK hold PIVOT Sponges HARDNESS soft TASK cleaning PIVOT Sponges TASK cleaning PIVOT Sponges TASK cleaning PIVOT sponges TASK cleaning CONTEXT tools;Precision;2
