Object;ChatGPTLNoTypes;GraspType;Grasp
Chalk;chalk Chalk limestone marble soft powdery white lightweight porous chalk broken small chalk smooth;Precision;3
Chess piece;chess piece chess piece Pawn small short piece rounded top wood plastic flat rectangular top head small top wood metal chess small lightweight move playing;Precision;2
Chestnut;chestnut chestnuts Chestnuts small round oval flattened bottom top shell chestnuts hard prickly soft grainy shell brown white chestnuts;Precision;2
Chocolate bar;eating chocolate bar chocolate bar solid glossy rectangular smooth chocolate bar chocolate brittle eat;Power;0
Cigarette;cigarette cigarette cigarette cylindrical paper Smoking;Precision;3
Clementine;clementine small fruit thin smooth glossy orange rind eaten round;Power;1
Coin;coins Coins small flat circular metal plastic coin small large coin coin circular coin smooth rough wear;Power;0
Comb;comb comb flat narrow instrument plastic wood metal detangling styling comb long narrow plastic wood hard rubber metal wear comb detangle comb comb comb styling;Power;0
Compact disk;CD CD disc circular plastic disc polycarbonate plastic thin metal aluminum tiny plastic CDs CD CDs;Power;0
Credit card;credit card Credit cards plastic polyvinyl PVC metal thin lightweight carried;Power;0
Cucumber;cucumber Cucumbers elongated cylindrical smooth waxy green yellow white hard crunchy fruit vegetable;Power;1
Cup;cup Cups glass ceramic plastic metal wood small narrow large wide cup glass ceramic metal cup cup smooth rough cup cups Cups metal cups ceramic cups;Power;1
Dice;six-sided die cube dice plastic metal wood dice dice die game chance;Precision;2
Donut;donut donuts donut golden brown crispy donut donut soft crispy eat donut golden brown circular small large;Power;0
Earring;earring earring gold silver platinum acrylic plastic wood Large round oval earring smooth earrings earring;Precision;2
Egg;egg egg white thin shell white white egg oval;Precision;2
Envelope;envelopes envelope Envelopes rectangular square long thin paper plastic fabric envelope envelope thin rectangular paper flap;Power;0
Flashlight;flashlights Flashlights small aluminum plastic steel flashlight flashlights flashlights Flashlights button flashlight;Power;1
Flask;flasks flask glass plastic steel Flasks round hold flask flasks Flasks cleaning flask;Power;1
Fork;fork metal fork metal steel silver metal Forks small held handle thin tapered head fork tines curved lightweight hold fork smooth fork fork;Precision;3
Fountain pen;fountain pens fountain pens Fountain pens Fountain pens metal plastic wood resin metal plastic Nib nib nib gold steel titanium cap nib cap attach fountain pen fountain pen;Precision;3
Frisbee;frisbee frisbee frisbee plastic lightweight flexible curved rounded edge fly Frisbees smooth small throwing disc frisbee;Power;0
Gel pen;gel pens gel pens Tip tip gel pen metal plastic gel pen plastic metal hold writing pens lightweight writing instrument Writing smooth writing write gel pens writing instrument;Precision;3
Glasses;glass glasses Glass hard brittle break Glass glass glass Glass Glass Glass solid;Precision;2
Glue stick;glue stick solid stick tube glue stick glue stick waxy solid Glue sticks attaching lightweight glue sticks glue sticks;Power;1
Golf ball;golf ball golf ball lift ball Golf balls balls golf ball golf balls rubber urethane Surlyn Golf white yellow orange Golf balls;Precision;2
Hairbrush;hairbrush hairbrush bristles handle bristles plastic nylon bristles long bristles thick bristles straight fine handle hairbrush plastic wood handle hairbrush;Power;0
Hammer;hammer hammer hammer Hammers steel wood fiberglass hammer Handle hammer handle handles handles hammer head hammer curved claw pulling smooth striking hammer smooth smooth hammer;Power;1
Handfan;handfan lightweight bamboo plastic paper fabric handfan;Power;0
Jar;jar jar glass plastic ceramic metal jar cylindrical rectangular jar jar lid;Power;1
Jug;jug jugs jug cylindrical spherical square glass ceramic plastic metal clay smooth pouring jug handle pick pour jugs jug;Power;1
Key;key metal brass nickel steel key key key key key key keys metal;Power;0
Kiwifruit;kiwi fruit kiwi fruit fruit small oval fruit fuzzy skin eating fruit soft green small black seeds fruit fruit;Precision;2
Knife;knives knife steel steel ceramic titanium blade knife blade steel knife knife knife knife handle Handle handle knife wood plastic rubber knife blades slicing chopping blades peeling trimming knife;Precision;3
Ladle;ladle ladles utensils serving ladle steel plastic wood silicone Small serving large serving long handle rounded bowl-shaped scoop scoop ladle cooking Silicone steel ladles plastic wooden hold handle;Precision;3
Lemon;lemon lemon small yellow oval-shaped fruit smooth thin skin small seeds lemon lemon smooth bumpy skin skin lemon yellow yellow lemon lemon lemon lightweight lemon lemon;Power;1
Lollipop;lollipop lollipop hard smooth small round lollipop lollipops candy;Precision;3
Marble;Marble rock white gray blue green pink marble soft stone quartz diamond marble stone stone quartz porous stone glossy Marble marble stone;Precision;2
Marker Pen;marker pen cylindrical plastic tip nib porous felt nylon polyester tip;Precision;3
Mobile phone;mobile phone mobile phone mobile phone glass mobile phone plastic metal glass glossy Mobile phones mobile phone smartphones;Power;0
Mousepad;mousepads mousepad Mousepads thin mousepad rubber mousepad Cleaning cloth mousepad smooth;Power;0
Mug;mug mug ceramic porcelain glass plastic cylindrical conical handle holding flat hold glossy glass plastic mugs;Power;1
Newspaper;newspaper newspapers Newspapers rough dry thin paper fibers.Weight lightweight carry thin flexible large black white newspapers large;Power;0
Notepad;notepads notepad notepad cover cardboard paper pages paper pages bound notepad rectangular small paper paper paper paper paper cardboard plastic leather lightweight carry pages notepads writing drawing;Power;0
Onion;onion round skin onion white yellow red crisp moist onion onions onion;Power;1
Paintbrush;paintbrush paintbrush handle ferrule metal plastic bristles handle paintbrush paintbrushes small round large flat bristles bristles bristles applying paintbrush hold brush paintbrush painting;Precision;3
Pan;pan pan metal steel aluminium copper solid pan roasting pan smooth handles pan pan plastic wood pan pan pan cooking;Power;0
Peach;peach Peaches soft fuzzy skin peaches yellow orange red round oval-shaped small large peaches fruit eating;Power;1
Pear;pear Pears pear-shaped wider bottom tapering top smooth waxy skin thin soft grainy gritty green yellow red brown;Power;1
Pencil;Pencil long cylindrical tip flat eraser wooden barrel pencil paper write draw graphite wooden pencil yellow pencil soft hard writing drawing;Precision;3
Pill;pill Pills round oval oblong pill small large smooth rough soft hard pill pill;Precision;2
Pliers;pliers Pliers steel aluminum plastic tool Pliers small large pliers Pliers pliers Pliers handles tips pliers Larger jaws pliers;Power;1
Plate;plate Plates flat circular oval square rectangular ceramic glass plastic metal wood plate ceramic glass plates plastic smooth rough Ceramic glass plates plastic plate ceramic glass plastic;Power;0
Playing card;playing cards playing card Playing cards rectangular playing card playing card playing cards paper cardboard plastic PVC acetate vinyl Playing cards smooth shuffling Playing cards white red black Playing cards playing cards;Power;0
Potato;potatoes potato potato firm vegetable rough bumpy skin oval flattened small large white yellowish vegetable potato brown crispy potatoes vegetable;Power;1
Potato chip;potato chip Potato chips thin crispy potato chip crispy crunchy Potato chips golden brown Potato chips Potato chips round oval small potato chips;Power;0
Quill;quill quill feather writing drawing large quills long Quills rough tiny barbs hold writing drawing lightweight Quills writing Quills porous writing quills writing instrument;Precision;3
Remote control;remote control online remote control small lightweight held remote control remote plastic control buttons buttons;Power;0
Rubik's Cube;Rubik cube Rubik cube plastic Rubik cube smooth rounded Rubik cube cubes Rubik cube;Power;1
Scalpel;scalpel scalpel knife surgery thin blade steel steel handle plastic metal blade handle scalpel scalpel blade hard blade cutting handle lightweight scalpel tool;Precision;3
Scissors;Scissors Scissors steel steel titanium ceramic small large cutting straight curved blades blades cutting convex blades cut scissors blades held Handle Scissors handles straight handles handles handles scissors;Precision;3
Screw;screws screw cylindrical conical shaft metal plastic wood screw screw flat round hexagonal tightened screws;Precision;2
Screwdriver;screwdriver screwdriver tool handle shaft metal turning handle plastic wood shaft steel metal straight tapered screwdriver Screwdrivers screw screwdriver screwdriver bending screwdriver lightweight tool tool screwdrivers tips hold screwdriver screwdriver tool;Precision;3
Sheet of paper;sheet paper Paper paper paper paper paper smooth rough Smooth paper rough drawing paper paper paper paper Paper white Paper paper;Power;0
Spatula;spatula metal plastic flat curved tool handle lift spatula small cooking blade flat rectangular curved tapered metal plastic silicone wood Metal plastic silicone lightweight flexible Metal plastic Plastic silicone spatulas metal spatula spatula cooking;Power;0
Sponge;sponge sponge porous cleaning soaking small holes hold Sponges soft cleaning Sponges cleaning Sponges cleaning sponges cleaning tools;Precision;2
Spoon;spoon metal plastic spoon curved straight handle small held spoon Metal spoons plastic Metal spoons plastic spoon Metal smooth plastic rougher Metal hold Plastic spoon;Precision;3
Strawberry;strawberries strawberries Strawberries conical heart-shaped strawberry smooth soft strawberry small seeds strawberry red glossy strawberry fruit;Precision;2
Syringe;syringe syringe instrument administering injecting syringe Syringes plastic glass metal Plastic lightweight glass Metal push rubber plastic needle inserting steel needle syringe;Precision;3
Tennis ball;tennis ball tennis ball tennis ball felt wool fuzzy tennis ball Tennis balls tennis ball tennis balls;Precision;2
Thermometer;thermometer thermometer measure thermometer thermometers thermometer small thermometer rough thermometer thermometer;Precision;3
Toothbrush;toothbrushes toothbrush toothbrush nylon Handle handle toothbrush plastic rubber Toothbrushes lightweight toothbrush cleaning;Precision;3
Tube;tubes tube cylindrical curved circular ends small large tube metal plastic glass rubber tube rubber tube tubes tube;Precision;3
Tweezers;tweezers metal plastic tips grasp tweezers handle tweezers;Precision;3
Vase;vase vase container hold vase ceramic glass porcelain metal wood plastic vase cylindrical spherical small large vase smooth glossy rough vase;Power;1
Wallet;wallet wallet small flat hold small leather fabrics plastic wallet wallet heavy carry;Power;0
Walnut;walnuts walnut Walnuts spherical hard tough shell small large shell walnut brown shell hard crack hard Walnuts Walnuts walnuts hard Walnuts;Precision;2
Whisk;whisks whisk steel wire handle wood plastic curved whisking whisk whisk small large rounded whisk whisk whisk wire handle;Precision;3
Wine bottle;wine bottles glass rigid brittle Glass tapered neck punt pouring bottle wine wine wine bottle;Power;1
Wine glass;wine glass wine glass glass crystal plastic Glass crystal wine glass stem bowl bowl Wine glasses lightweight holding glass Wine glasses;Power;1
