Object;ChatGPTSWithTypes;GraspType;Grasp
Onion;PIVOT Onions GEOMETRY round COMPONENT skin COLOR white COLOR yellow COLOR red GEOMETRY thin;Power;1
Paintbrush;PIVOT paintbrush SIZE long GEOMETRY slender COMPONENT handle COMPONENT bristle COMPONENT tip COMPONENT tip SIZE small SIZE large GEOMETRY round GEOMETRY flat COMPONENT bristles PIVOT brush COMPONENT tips TASK painting SIZE small TASK broader COMPONENT tips TASK creating GEOMETRY flat CONTEXT tool;Precision;3
Pan;PIVOT pan GEOMETRY flat-bottomed TASK cooking CONTEXT vessel GEOMETRY straight COMPONENT sides COMPONENT handle MATERIAL metal MATERIAL steel MATERIAL aluminum MATERIAL iron TASK cooking TASK cooking;Power;0
Peach;PIVOT peach GEOMETRY round CONTEXT fruit TEXTURE fuzzy TEXTURE velvety COMPONENT skin COLOR yellow COLOR pink COLOR yellow COLOR orange;Power;1
Pear;PIVOT pear CONTEXT fruit GEOMETRY rounded COMPONENT bottom GEOMETRY narrower COMPONENT top GEOMETRY thin COMPONENT skin TASK eaten;Power;1
Pencil;PIVOT pencil GEOMETRY cylindrical TASK writing CONTEXT instrument MATERIAL wood MATERIAL graphite COMPONENT tip GEOMETRY flat COMPONENT eraser TASK writing TASK drawing TASK sketching WEIGHT lightweight;Precision;3
Pill;PIVOT Pills SIZE small HARDNESS solid GEOMETRY cylindrical GEOMETRY oval-shaped TEXTURE smooth;Precision;2
Pliers;PIVOT pliers MATERIAL metallic COMPONENT jaws TASK opened TASK closed COMPONENT Pliers GEOMETRY flat GEOMETRY rounded COMPONENT jaws COMPONENT handles PIVOT pliers MATERIAL rubber MATERIAL plastic PIVOT Pliers TASK gripping TASK cutting TASK bending TASK twisting;Power;1
Plate;PIVOT plate GEOMETRY flat GEOMETRY circular GEOMETRY oval-shaped MATERIAL ceramic MATERIAL glass MATERIAL metal TASK serve SIZE small SIZE large;Power;0
Playing card;CONTEXT playing PIVOT card GEOMETRY rectangular;Power;0
Potato;PIVOT potato GEOMETRY round GEOMETRY oval COLOR brown COLOR red COMPONENT skin COLOR white COLOR yellow TASK cooking;Power;1
Potato chip;CONTEXT potato PIVOT chip GEOMETRY thin TEXTURE crispy CONTEXT slice CONTEXT potato GEOMETRY curved TEXTURE smooth COLOR golden TEXTURE crunchy;Power;0
Quill;PIVOT quill MATERIAL feather MATERIAL reed COMPONENT tip TASK hold TASK writing TASK drawing;Precision;3
Remote control;PIVOT remote CONTEXT control GEOMETRY rectangular COMPONENT buttons;Power;0
Rubik's Cube;CONTEXT Rubik PIVOT cube CONTEXT puzzle SIZE small;Power;1
Scalpel;PIVOT scalpel SIZE small CONTEXT knife COMPONENT handle MATERIAL metal MATERIAL plastic TASK thrown COMPONENT blade MATERIAL steel COMPONENT tip GEOMETRY curved TASK excising TASK cutting;Precision;3
Scissors;PIVOT Scissors COMPONENT blades MATERIAL metal COMPONENT handles TASK holding TASK cutting MATERIAL paper MATERIAL fabric COMPONENT blades GEOMETRY straight GEOMETRY curved TASK cutting TASK cutting PIVOT scissors;Precision;3
Screw;PIVOT screw COMPONENT head COMPONENT shank;Precision;2
Screwdriver;PIVOT screwdriver SIZE long GEOMETRY narrow GEOMETRY cylindrical MATERIAL metal COMPONENT shaft GEOMETRY flat COMPONENT tip COMPONENT shaft TASK tightening TASK loosening SIZE small MATERIAL metal MATERIAL plastic;Precision;3
Sheet of paper;PIVOT sheet MATERIAL paper GEOMETRY thin GEOMETRY flat COLOR white MATERIAL Paper TASK writing TASK drawing;Power;0
Spatula;PIVOT spatula GEOMETRY flat GEOMETRY wide GEOMETRY thin COMPONENT blade MATERIAL metal MATERIAL silicone SIZE long COMPONENT handle TASK flipping TASK turning TASK cooking;Power;0
Sponge;PIVOT Sponges TEXTURE porous HARDNESS soft MATERIAL flexible GEOMETRY cylindrical GEOMETRY flattened TASK cleaning TASK hold;Precision;2
Spoon;PIVOT spoon SIZE small GEOMETRY concave CONTEXT utensil MATERIAL metal MATERIAL plastic MATERIAL wood MATERIAL ceramic COMPONENT handle COMPONENT bowl TASK scooping TASK transferring CONTEXT container COMPONENT bowl GEOMETRY oval-shaped COMPONENT handle GEOMETRY thin GEOMETRY straight TASK stirring TASK sipping;Precision;3
Strawberry;PIVOT strawberry SIZE small COLOR red CONTEXT fruit GEOMETRY heart-shaped SIZE small COMPONENT seeds;Precision;2
Syringe;PIVOT syringe GEOMETRY cylindrical TASK draw TASK inject SIZE small COMPONENT needle TASK drawing TASK injecting;Precision;3
Tennis ball;CONTEXT tennis PIVOT ball GEOMETRY spherical TEXTURE fuzzy COLOR yellow MATERIAL felt;Precision;2
Thermometer;PIVOT thermometer MATERIAL glass MATERIAL plastic CONTEXT tube;Precision;3
Toothbrush;PIVOT toothbrush CONTEXT tool COMPONENT handle COMPONENT bristles MATERIAL nylon COMPONENT bristles COMPONENT bristles TASK cleaning TASK removing;Precision;3
Tube;PIVOT tube GEOMETRY cylindrical MATERIAL metal MATERIAL plastic MATERIAL glass PIVOT tube;Precision;3
Tweezers;PIVOT Tweezers MATERIAL metal GEOMETRY straight GEOMETRY angled COMPONENT tips;Precision;3
Vase;PIVOT vase CONTEXT container MATERIAL glass MATERIAL ceramic MATERIAL metal GEOMETRY narrow COMPONENT neck GEOMETRY wide COMPONENT base PIVOT vase PIVOT Vases SIZE small SIZE large;Power;1
Wallet;PIVOT wallet SIZE small GEOMETRY flat MATERIAL leather MATERIAL plastic TASK hold SIZE small TASK organizing;Power;0
Walnut;PIVOT Walnuts GEOMETRY oval-shaped CONTEXT nuts HARDNESS hard COLOR brown COMPONENT shell;Precision;2
Whisk;PIVOT whisk COMPONENT handle COMPONENT wire GEOMETRY curved MATERIAL metal MATERIAL silicone TASK mix TASK beating TASK whipping;Precision;3
Wine bottle;CONTEXT wine PIVOT bottle GEOMETRY narrow COMPONENT neck COMPONENT base GEOMETRY sloping COMPONENT shoulders MATERIAL glass;Power;1
Wine glass;CONTEXT wine PIVOT glass COMPONENT stem COMPONENT bowl COMPONENT stem MATERIAL glass TASK held TASK swirling GEOMETRY narrow;Power;1
